Iteration,Function,Color,Increment Count,Increment Percentage,Decrement Count,Decrement Percentage
67,1,1,1,0.2,499,99.8
68,1,1,1,0.2,499,99.8
69,1,1,1,0.2,499,99.8
70,1,1,1,0.2,499,99.8
71,1,1,1,0.2,499,99.8
72,1,1,1,0.2,499,99.8
73,1,1,1,0.2,499,99.8
74,1,1,1,0.2,499,99.8
75,1,1,1,0.2,499,99.8
76,1,1,1,0.2,499,99.8
77,1,1,1,0.2,499,99.8
78,1,1,1,0.2,499,99.8
79,1,1,1,0.2,499,99.8
80,1,1,1,0.2,499,99.8
81,1,1,1,0.2,499,99.8
82,1,1,1,0.2,499,99.8
83,1,1,1,0.2,499,99.8
84,1,1,1,0.2,499,99.8
85,1,1,1,0.2,499,99.8
86,1,1,1,0.2,499,99.8
87,1,1,1,0.2,499,99.8
88,1,1,1,0.2,499,99.8
89,1,1,1,0.2,499,99.8
90,1,1,1,0.2,499,99.8
91,1,1,1,0.2,499,99.8
92,1,1,1,0.2,499,99.8
93,1,1,1,0.2,499,99.8
94,1,1,1,0.2,499,99.8
95,1,1,1,0.2,499,99.8
96,1,1,1,0.2,499,99.8
97,1,1,1,0.2,499,99.8
98,1,1,1,0.2,499,99.8
99,1,1,1,0.2,499,99.8
100,1,1,1,0.2,499,99.8
101,1,1,1,0.2,499,99.8
102,1,1,1,0.2,499,99.8
103,1,1,1,0.2,499,99.8
104,1,1,1,0.2,499,99.8
105,1,1,1,0.2,499,99.8
106,1,1,1,0.2,499,99.8
107,1,1,1,0.2,499,99.8
108,1,1,1,0.2,499,99.8
109,1,1,1,0.2,499,99.8
110,1,1,1,0.2,499,99.8
111,1,1,1,0.2,499,99.8
112,1,1,1,0.2,499,99.8
113,1,1,1,0.2,499,99.8
114,1,1,1,0.2,499,99.8
115,1,1,1,0.2,499,99.8
116,1,1,1,0.2,499,99.8
117,1,1,1,0.2,499,99.8
118,1,1,1,0.2,499,99.8
119,1,1,1,0.2,499,99.8
120,1,1,1,0.2,499,99.8
121,1,1,1,0.2,499,99.8
122,1,1,1,0.2,499,99.8
123,1,1,1,0.2,499,99.8
124,1,1,1,0.2,499,99.8
125,1,1,1,0.2,499,99.8
126,1,1,1,0.2,499,99.8
127,1,1,1,0.2,499,99.8
128,1,1,1,0.2,499,99.8
129,1,1,1,0.2,499,99.8
130,1,1,1,0.2,499,99.8
131,1,1,1,0.2,499,99.8
132,1,1,1,0.2,499,99.8
133,1,1,1,0.2,499,99.8
134,1,1,1,0.2,499,99.8
135,1,1,1,0.2,499,99.8
136,1,1,1,0.2,499,99.8
137,1,1,1,0.2,499,99.8
138,1,1,1,0.2,499,99.8
139,1,1,1,0.2,499,99.8
140,1,1,1,0.2,499,99.8
141,1,1,1,0.2,499,99.8
142,1,1,1,0.2,499,99.8
143,1,1,1,0.2,499,99.8
144,1,1,1,0.2,499,99.8
145,1,1,1,0.2,499,99.8
146,1,1,1,0.2,499,99.8
147,1,1,1,0.2,499,99.8
148,1,1,1,0.2,499,99.8
149,1,1,1,0.2,499,99.8
150,1,1,1,0.2,499,99.8
151,1,1,1,0.2,499,99.8
152,1,1,1,0.2,499,99.8
153,1,1,1,0.2,499,99.8
154,1,1,1,0.2,499,99.8
155,1,1,1,0.2,499,99.8
156,1,1,1,0.2,499,99.8
157,1,1,1,0.2,499,99.8
158,1,1,1,0.2,499,99.8
159,1,1,1,0.2,499,99.8
160,1,1,1,0.2,499,99.8
161,1,1,1,0.2,499,99.8
162,1,1,1,0.2,499,99.8
163,1,1,1,0.2,499,99.8
164,1,1,1,0.2,499,99.8
165,1,1,1,0.2,499,99.8
166,1,1,1,0.2,499,99.8
167,1,1,1,0.2,499,99.8
168,1,1,1,0.2,499,99.8
169,1,1,1,0.2,499,99.8
170,1,1,1,0.2,499,99.8
171,1,1,1,0.2,499,99.8
172,1,1,1,0.2,499,99.8
173,1,1,1,0.2,499,99.8
174,1,1,1,0.2,499,99.8
